id,name,value
1001,Autauga County,0.253779546
1003,Baldwin County,0.310674181
1005,Barbour County,0.247048471
1007,Bibb County,0.21883111
1009,Blount County,0.231528447
1011,Bullock County,0.232840705
1013,Butler County,0.252080023
1015,Calhoun County,0.265582966
1017,Chambers County,0.243085115
1019,Cherokee County,0.240790535
1021,Chilton County,0.224385178
1023,Choctaw County,0.250430239
1025,Clarke County,0.252575979
1027,Clay County,0.261455726
1029,Cleburne County,0.235313699
1031,Coffee County,0.296663253
1033,Colbert County,0.26575047
1035,Conecuh County,0.227144747
1037,Coosa County,0.19484769
1039,Covington County,0.284829937
1041,Crenshaw County,0.269119393
1043,Cullman County,0.264276649
1045,Dale County,0.290587167
1047,Dallas County,0.24528616
1049,DeKalb County,0.259963267
1051,Elmore County,0.252410969
1053,Escambia County,0.251214107
1055,Etowah County,0.273318188
1057,Fayette County,0.248006185
1059,Franklin County,0.255361701
1061,Geneva County,0.269966608
1063,Greene County,0.225061402
1065,Hale County,0.239122789
1067,Henry County,0.250902015
1069,Houston County,0.258575752
1071,Jackson County,0.246343802
1073,Jefferson County,0.31138388
1075,Lamar County,0.258310632
1077,Lauderdale County,0.263992947
1079,Lawrence County,0.217825036
1081,Lee County,0.24473508
1083,Limestone County,0.249031926
1085,Lowndes County,0.206211541
1087,Macon County,0.254574345
1089,Madison County,0.298973224
1091,Marengo County,0.245948239
1093,Marion County,0.250973842
1095,Marshall County,0.278226995
1097,Mobile County,0.284683061
1099,Monroe County,0.266687046
1101,Montgomery County,0.286057563
1103,Morgan County,0.261512559
1105,Perry County,0.235132278
1107,Pickens County,0.240367739
1109,Pike County,0.269118657
1111,Randolph County,0.260122877
1113,Russell County,0.247653162
1115,St. Clair County,0.253901253
1117,Shelby County,0.284097531
1119,Sumter County,0.2545974
1121,Talladega County,0.23449782
1123,Tallapoosa County,0.253186204
1125,Tuscaloosa County,0.279371245
1127,Walker County,0.250696744
1129,Washington County,0.237429464
1131,Wilcox County,0.239327504
1133,Winston County,0.267530509
2013,Aleutians East Borough,0.237681215
2016,Aleutians West Census Area,0.237679478
2020,Anchorage Municipality,0.232934617
2050,Bethel Census Area,0.230976162
2060,Bristol Bay Borough,0.280725773
2068,Denali Borough,0.298397176
2070,Dillingham Census Area,0.230248552
2090,Fairbanks North Star Borough,0.266242863
2100,Haines Borough,0.247853004
2105,Hoonah-Angoon Census Area,0.235677945
2110,Juneau City and Borough,0.266554984
2122,Kenai Peninsula Borough,0.277458817
2130,Ketchikan Gateway Borough,0.256139649
2150,Kodiak Island Borough,0.286766111
2164,Lake and Peninsula Borough,0.227580695
2170,Matanuska-Susitna Borough,0.242783498
2180,Nome Census Area,0.22197949
2185,North Slope Borough,0.232551154
2188,Northwest Arctic Borough,0.20403728
2195,Petersburg Census Area,0.268257307
2198,Prince of Wales-Hyder Census Area,0.243128101
2220,Sitka City and Borough,0.272451943
2230,Skagway Municipality,0.286672189
2240,Southeast Fairbanks Census Area,0.2429032
2261,Valdez-Cordova Census Area,0.300689262
2270,Wade Hampton Census Area,0.188122814
2275,Wrangell City and Borough,0.251937066
2282,Yakutat City and Borough,0.229270667
2290,Yukon-Koyukuk Census Area,0.266574504
